업소명,업종,업태,도로명주소
강릉한식도시락뷔페,일반음식점,한식,강원특별자치도 강릉시 강변로534번길 30(1층 입암동)
강릉한우만,일반음식점,한식,강원특별자치도 강릉시 정원로 74-23(교동)
강릉한우원,일반음식점,한식,"강원특별자치도 강릉시 하슬라로 180(2동 2,3층 교동)"
강릉한전식당,일반음식점,한식,강원특별자치도 강릉시 강릉대로 563(포남동)
강릉한정식 하서주미역,일반음식점,한식,강원특별자치도 강릉시 난설헌로 73(1층 포남동)
강릉현대장칼국수,일반음식점,분식,강원특별자치도 강릉시 임영로182번길 7-1(임당동)
강릉홍가네옹심이,일반음식점,한식,강원특별자치도 강릉시 범일로 629(1층 내곡동)
강문옛태광식당,일반음식점,한식,강원특별자치도 강릉시 난설헌로 105(라동 3호 포남동)
강문칼국수,일반음식점,한식,강원특별자치도 강릉시 창해로 368(1층 강문동)
강변식당,일반음식점,한식,강원특별자치도 강릉시 연곡면 진고개로 1736
강보리밥,일반음식점,한식,강원특별자치도 강릉시 구정면 구정중앙로 226(1층)
강부맛나는닭갈비포남점,일반음식점,한식,강원특별자치도 강릉시 남구길24번길 9(포남동)
강원도엄나무닭강정,일반음식점,분식,강원특별자치도 강릉시 주문진읍 시장길 59(1층)
개두릅장칼국수,일반음식점,한식,강원특별자치도 강릉시 사천면 미노길 56-1
개미옹심이,일반음식점,한식,강원특별자치도 강릉시 강릉대로 155(교동)
개스토랑인위촌길299,일반음식점,한식,강원특별자치도 강릉시 성산면 위촌길 299
갯마을낙지,일반음식점,한식,강원특별자치도 강릉시 성덕포남로188번길 13(포남동)
갯마을식당,일반음식점,한식,강원특별자치도 강릉시 초당원길 17(1층 초당동)
갯벌의조개강릉점,일반음식점,한식,강원특별자치도 강릉시 강변로470번길 18(1층 입암동)
갱스터분식카페,일반음식점,분식,강원특별자치도 강릉시 관솔길 97-1(내곡동)
건강밥상,일반음식점,한식,강원특별자치도 강릉시 강동면 단경로 33
건강삼계탕,일반음식점,한식,강원특별자치도 강릉시 성덕로 167(병산동)
겸상,일반음식점,한식,강원특별자치도 강릉시 선수촌로63번길 22-12(1층 홍제동)
경상도식당,일반음식점,한식,강원특별자치도 강릉시 중앙시장1길 13(성남동)
경포479,일반음식점,분식,강원특별자치도 강릉시 경포로 479(안현동)
경포가든,일반음식점,한식,강원특별자치도 강릉시 경포로463번길 34(안현동)
경포막국수,일반음식점,한식,강원특별자치도 강릉시 율곡로 3176(1층 죽헌동)
경포삼성관,일반음식점,한식,강원특별자치도 강릉시 경포로 489-6(안현동)
경포순두부,일반음식점,한식,강원특별자치도 강릉시 운정길 131(운정동)
경포엄마손식당,일반음식점,한식,강원특별자치도 강릉시 신대학길 4(1층 성내동)
경포올레길식당,일반음식점,한식,강원특별자치도 강릉시 안현로244번길 59-10(저동)
경포왕만두,일반음식점,분식,강원특별자치도 강릉시 율곡로 3176(다동 1층 죽헌동)
경포전주식당,일반음식점,한식,"강원특별자치도 강릉시 경포로 489-6(14,15,16호 안현동)"
경포초당순두부식당,일반음식점,한식,강원특별자치도 강릉시 해안로 517(안현동)
경포칼국수,일반음식점,한식,강원특별자치도 강릉시 안현로 300(1층 저동)
경포호해식당,일반음식점,한식,강원특별자치도 강릉시 경포로463번길 30-5(106호 안현동)
계곡민박식당,일반음식점,한식,강원특별자치도 강릉시 성산면 보현길 103-13(1층)
계륵장군 유천점,일반음식점,한식,강원특별자치도 강릉시 선수촌로63번길 30-14(1층 홍제동)
고가네숯불고기냉면.육개장칼국수,일반음식점,한식,강원특별자치도 강릉시 옥계면 현내시장길 71(1층)
고갯마루집,일반음식점,한식,강원특별자치도 강릉시 왕산면 백두대간로 646
고궁한정식,일반음식점,한식,강원특별자치도 강릉시 중앙시장3길 15-3(성남동)
고기랑조개랑,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 1029-5
고기카페,일반음식점,한식,강원특별자치도 강릉시 임영로 13(노암동)
고단막국수,일반음식점,분식,강원특별자치도 강릉시 왕산면 백두대간로 57-10
고단황금막국수냉면강릉점,일반음식점,분식,강원특별자치도 강릉시 하슬라로 199(교동)
고담집,일반음식점,한식,강원특별자치도 강릉시 하슬라로232번길 20(1층 교동)
고래,일반음식점,한식,강원특별자치도 강릉시 주문진읍 연주로 372-1
고래국밥강릉점,일반음식점,한식,강원특별자치도 강릉시 토성로 128(지하1층 용강동)
고래등,일반음식점,한식,강원특별자치도 강릉시 옥천로 59(1층 옥천동)
고래밥한식뷔페,일반음식점,한식,강원특별자치도 강릉시 경강로 2526(1층 송정동)
고래섬,일반음식점,한식,강원특별자치도 강릉시 임영로25번길 35(내곡동)
고려원,일반음식점,한식,강원특별자치도 강릉시 옥천로62번길 27(교동)
고메당,일반음식점,한식,강원특별자치도 강릉시 율곡로2968번길 22(교동)
고수면옥강릉점,일반음식점,분식,강원특별자치도 강릉시 강릉대로 237(2층 교동)
고양골추어탕,일반음식점,한식,강원특별자치도 강릉시 성곡고양길 55(교동)
고을식당,일반음식점,한식,강원특별자치도 강릉시 강동면 율곡로 1985
고향감자탕,일반음식점,한식,강원특별자치도 강릉시 성덕포남로 102(입암동)
고향먹거리,일반음식점,한식,"강원특별자치도 강릉시 금성로 21(성남동,2층 42호)"
고향산천,일반음식점,한식,강원특별자치도 강릉시 연곡면 소금강길 244
고향산천초당순두부,일반음식점,한식,강원특별자치도 강릉시 난설헌로219번길 34(초당동)
고향촌,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 1080
고향해장국,일반음식점,한식,강원특별자치도 강릉시 동부시장1길 12(옥천동)
곤지암할매소머리국밥,일반음식점,한식,강원특별자치도 강릉시 강릉대로 268(교동)
골든벨7080,일반음식점,한식,강원특별자치도 강릉시 남구길23번길 25(지하층 포남동)
곰돌이왕만두,일반음식점,한식,강원특별자치도 강릉시 금성로13번길 14(1층 성남동)
곰치랑대구랑,일반음식점,한식,강원특별자치도 강릉시 강동면 안인진길 17(1층)
곱도리상회,일반음식점,한식,강원특별자치도 강릉시 율곡로 2835(1층 옥천동)
곱창미지수,일반음식점,분식,강원특별자치도 강릉시 중앙시장3길 12(1층 성남동)
곱창백화점,일반음식점,한식,강원특별자치도 강릉시 주문진읍 매맥이아랫길 9-4
곱창전골명가도계물닭갈비,일반음식점,한식,강원특별자치도 강릉시 성산면 구산길 92
공감,일반음식점,한식,강원특별자치도 강릉시 용지각길 12(포남동)
공단분식,일반음식점,분식,강원특별자치도 강릉시 강변로534번길 45(입암동)
공원반점,일반음식점,분식,강원특별자치도 강릉시 금성로14번길 5(금학동)
공주네,일반음식점,한식,강원특별자치도 강릉시 주문진읍 해안로 1754(2단지4동)
과객,일반음식점,한식,강원특별자치도 강릉시 성산면 갈매간길 8-3
곽가네시오야끼,일반음식점,한식,강원특별자치도 강릉시 임영로116번안길 1(금학동)
관제탑해물탕,일반음식점,한식,강원특별자치도 강릉시 강동면 정동1길 1
광덕식당,일반음식점,한식,강원특별자치도 강릉시 경강로 2403(1~2층 송정동)
광덕식당중앙시장점,일반음식점,한식,강원특별자치도 강릉시 중앙시장길 22-3(성남동)
교동그집,일반음식점,한식,강원특별자치도 강릉시 옛강일길 16(1층 교동)
교동김밥,일반음식점,분식,강원특별자치도 강릉시 율곡로 2866(1층 교동)
교동동태탕,일반음식점,한식,강원특별자치도 강릉시 사임당로 131-1(107호 홍제동)
교동면옥,일반음식점,분식,강원특별자치도 강릉시 강릉대로210번길 5-4(임당동)
교동소머리곰탕,일반음식점,한식,강원특별자치도 강릉시 정원로 81(교동)
교동순대국밥,일반음식점,한식,강원특별자치도 강릉시 하슬라로206번길 7-15(1층 교동)
